Numeral|Nivel|Contenido|Ponderacion
6.2.4.1|4|Se realiza separación secundaria de todos los residuos sólidos urbanos generados dentro de las instalaciones turísticas para su posible aprovechamiento de acuerdo con la definición del presente proyecto de norma.|1
6.2.4.2 |4|Se dispone de botes de almacenamiento temporal con tapa, sin tener contacto con el suelo para evitar la filtración de lixiviados.|1
6.2.4.3 |4|Los botes no presentan saturación de residuos sólidos urbanos.|1
6.2.4.4 |4|Los sitios de almacenamiento temporal y botes no están cerca de cuerpos de agua.|1
6.2.4.5 |4|El sitio de almacenamiento temporal debe contener botes de separación secundaria, contar con estructura y tapa para evitar la entrada de fauna nociva.|1
6.2.4.6 |4|Los desechos orgánicos producidos por la empresa son utilizados como el compostaje y, posteriormente, se aplican en áreas verdes, huertas y/o jardines, alimentación de fauna (gallinas, borregos, etc.).|1
6.2.4.7 |4|Se realizan acciones de reciclaje y reuso.|1
6.2.4.8|4|Empleados y turistas aplican buenas prácticas en el manejo de residuos en el área total del proyecto.|1
6.2.5|3|Programa de compra y uso de productos ambientalmente responsables que incluye indicadores, metas, tiempos y responsables, en donde se consideren al menos las siguientes medidas:|0
6.2.5.1|4|Se reduce la compra, internación, venta y consumo de materiales y productos empacados individualmente como: PET, aluminio y, en general, envases y empaques de lenta degradación.|1
6.2.5.2|4|El prestador de servicios turísticos y los visitantes no emplean productos de lenta degradación, persistentes, acumulables, tóxicos y/o nocivos para el ecosistema terrestre o acuático.|1
6.2.5.3|4|Se utilizan productos biodegradables en el mantenimiento y limpieza de las instalaciones y se capacita al personal sobre su uso.|1
6.2.5.4|4|En caso de que se cuente con productos biodegradables para uso o venta al visitante, se proporciona información sobre sus beneficios, uso y se promueve su consumo.|1
6.2.5.5|4|Se lleva una bitácora de los productos que adquiere la empresa.|1
6.2.5.6|4|Se tiene una política de preferencia a proveedores certificados o que emplean buenas prácticas ambientales y sociales.|1
6.2.5.7|4|En caso de utilizar leña para preparar alimentos o para ofrecer calefacción a los visitantes, se consideran los siguientes criterios para su compra y/o uso:|0
6.2.5.7.1|5|No se utilizan árboles o arbustos vivos para la obtención de leña.|1
6.2.5.7.2|5|La leña a utilizarse proviene de:|0
6.2.5.7.2.1|6|Arbolado muerto, derribado por causa de incendios, plagas o enfermedades forestales o fenómenos meteorológicos.|1
6.2.5.7.2.2|6|Desperdicios de cortas silvícolas (puntas y ramas).|1
6.2.5.7.2.3|6|Podas de árboles y arbustos, en donde la poda considere lo siguiente:|0
6.2.5.7.2.3.1|7|Para la ejecución de podas de árboles y/o arbustos se emplean herramientas adecuadas y se realizan cortes que favorezcan la reproducción.|1
6.2.5.7.2.3.2|7|No se utiliza leña que provenga de podas de árboles o arbustos que sirvan como refugio permanente de fauna silvestre.|1
6.2.5.7.2.3.3|7|Cuando la leña provenga de poda de especies arbustivas debe considerarse franjas de protección sin alterar al menos dos metros de ancho en las orillas de cuerpos de agua.|1
6.2.5.7.3|5|Contar con un área específica y delimitada para realizar fogatas y/o chimeneas y evitar que el fuego pueda propagarse, en caso de ofrecer este servicio.|1
6.2.5.7.4|5|Tener designado a una persona responsable del encendido, supervisión, extinción y mantenimiento de área de fogata y/o chimeneas.|1
7 |1|REQUISITOS PARA ACTIVIDADES|0
7.1 |2|Se cuenta con un Programa de Interpretación Ambiental en donde se incluya:|0
7.1.1 |3|Estrategias y temas para la interpretación ambiental.|1
7.1.2 |3|Manual de interpretación ambiental que contenga:|0
7.1.2.1 |4|La importancia y valor del ecosistema del sitio, sobre los recursos naturales que lo componen, describiendo los elementos ambientales relevantes.|1
7.1.2.2 |4|Información sobre los valores, historia de la comunidad local, sensibilizándolo sobre la importancia del respeto de los usos y costumbres de los pueblos indígenas.|1
7.1.2.3 |4|Ruta del recorrido, puntos estratégicos de interpretación, duración, técnicas y métodos de interpretación, buscando sensibilizar al visitante sobre la problemática del medio ambiente y de la importancia de su participación en la conservación.|1
7.1.3 |3|Se provee información al visitante sobre las características, aspectos ambientales y socioculturales durante los recorridos, conforme a lo establecido en el Manual de Interpretación Ambiental.|1
7.1.4 |3|La interpretación se lleva a cabo por guías acreditados de conformidad con la NOM-09-TUR-2002.|1
7.1.5 |3|El desempeño del guía y/o información proporcionada son evaluados a través de un cuestionario de satisfacción.|1
7.2 |2|Se implementa un programa de senderos que contempla las siguientes medidas:|0
7.2.1 |3|Las actividades de caminata y senderismo se realizan únicamente en senderos o sistemas de senderos diseñados y/o establecidos para ese fin.|1
7.2.2 |3|En el caso de que el proyecto se ubique dentro de una Área Natural Protegida se notifica a la CONANP sobre las actividades a desarrollar y sus características, previo a su implementación.|1
7.2.3|3|Se respeta la capacidad de carga que ha sido definida para los senderos.|1
7.2.4 |3|Los senderos cuentan con letreros y/o señales visibles, claras y construidas con materiales que no rompen con el entorno; no impactan visual ni ambientalmente.|1
7.2.5 |3|Se cuenta con una bitácora y acciones de mantenimiento del sendero o sistemas de senderos que garanticen su buen estado y la protección del entorno natural.|1
7.3 |2|Implementación del programa de conservación, manejo y aprovechamiento sustentable de vida silvestre que considere las siguientes medidas:|0
7.3.1 |3|No se interrumpen los procesos biológicos de las poblaciones de fauna y flora silvestre por las actividades que se desarrollan dentro del área del proyecto.|1
7.3.2 |3|En caso de existencia de cercas, se consideran espacios para el libre desplazamiento de la fauna silvestre.|1
7.3.3 |3|No se utilizan ni circulan equipo motorizados terrestres en el área total del proyecto para realizar actividades recreativas, excepto para el transporte de carga, auxilio, vigilancia y pasajeros en las zonas de acceso previamente establecidos.|1
7.3.4 |3|No existen estructuras rígidas que causen algún impacto negativo al hábitat y al ciclo biológico de las especies.|1
7.3.5 |3|No hay fuentes de iluminación durante la época de apareamiento, anidación y avivamiento.|1
7.4 |2|En caso de ofrecer actividades en ecosistemas acuáticos, la operación de embarcaciones se lleva a cabo sin impactar negativamente a la fauna cumpliendo con lo siguiente:|0
7.4.1 |3|La aproximación a los ejemplares de vida silvestre se realiza con el motor apagado y sin que haya un cambio de dirección brusca.|1
7.4.2|3|Las embarcaciones no se aproximan a una distancia menor de 50 m., a las parvadas de aves y/o mamíferos marinos.|1
7.4.3 |3|Se utiliza el equipo motorizado acuático de cuatro tiempos y únicamente en canales y rutas previamente establecidas.|1
7.4.4 |3|El abastecimiento de combustible, mantenimiento y limpieza para los equipos motorizados acuáticos se realiza en un sitio destinado específicamente para ello, y debe hallarse en tierra.|1
7.4.5 |3|Las embarcaciones presentan buenas condiciones de mantenimiento para evitar impactos ambientales negativos en los ecosistemas acuáticos.|1
7.4.6 |3|Se utilizan las boyas de ascenso y no se arrojan anclas a los arrecifes.|1
7.4.7 |3|Se respetan las áreas destinadas al embarco y desembarco.|1
8 |1|PROCEDIMIENTO DE EVALUACIÓN DE LA CONFORMIDAD|0
8.1 |2|Evaluación de la Conformidad|0
8.1.1 |3|La evaluación de la conformidad del presente proyecto de norma se realiza a petición de parte, por el organismo de certificación acreditado por la Entidad de Acreditación y aprobado por la SEMARNAT por conducto de la PROFEPA.|1
8.1.2|3|La Secretaría da a conocer los listados de los organismos de certificación acreditados y aprobados para lo cual los interesados pueden acudir a la misma, a sus delegaciones federales o consultar la página electrónica (www.semarnat.gob.mx).|1
8.1.3 |3|En caso de que no existan organismos de certificación acreditados y aprobados, la evaluación de la conformidad es realizada por la SEMARNAT, por conducto de la PROFEPA.|1
8.1.4 |3|El interesado solicita por escrito, al organismo de certificación acreditado y aprobado de su elección, o a la SEMARNAT la evaluación en las siguientes modalidades: a) Instalaciones o b) Actividades o c) Instalaciones y actividades|1
8.1.5 |3|De manera adjunta al escrito de solicitud para la evaluación de la conformidad, el interesado presenta el documento que integre toda la información que se solicita en el presente proyecto de norma, así como su domicilio para oír y recibir notificaciones.|1
8.1.6 |3|El organismo de certificación acreditado y aprobado o la SEMARNAT da respuesta a la solicitud en 15 días naturales.|1
8.1.7 |3|El organismo de certificación acreditado y aprobado o la SEMARNAT programa las auditorias necesarias para evaluar el cumplimiento de las especificaciones en cada una de las modalidades que establecen en el inciso 8.1.4. Una vez recibido el plan de auditoría por el interesado debe ser aceptado, por éste, al menos 3 días hábiles antes de su ejecución.|1
8.1.8 |3|El organismo de certificación acreditado y aprobado o la SEMARNAT, evalúa el cumplimiento del presente proyecto de norma mediante la aplicación de la TABLA 3 del Apéndice A, en donde se establece el puntaje y criterios de valoración de acuerdo a las disposiciones contenidas en las modalidades citadas en el inciso 8.1.4.|1
8.1.9 |3|El organismo de certificación acreditado y aprobado o la SEMARNAT emite un informe de acuerdo con la NMX-EC-065-IMNC-2000, con los resultados de evaluación de la conformidad del presente proyecto de norma, el cual se entrega al interesado en un plazo no mayor a 15 días naturales a partir del término de la auditoria.|1
8.2 |2|PARA OBTENER EL CERTIFICADO|0
8.2.1 |3|En caso de que a petición de parte el interesado solicite la certificación al organismo de certificación acreditado y aprobado o a la SEMARNAT por conducto de la PROFEPA para tal efecto, se debe cumplir con el siguiente procedimiento:|0
8.2.1.1 |4|El interesado manifiesta su interés de obtener el certificado a través de un escrito dirigido al organismo de certificación acreditado y aprobado de su elección, o la SEMARNAT acompañando el informe, indicando el nivel de certificación de interés de acuerdo a la Tabla 1. Puntaje mínimo para obtener el certificado del Apéndice A.|1
8.2.1.2 |4|El organismo de certificación acreditado y aprobado o la SEMARNAT revisa el grado de cumplimiento del presente proyecto de norma derivado del informe presentado, a fin de valorar el porcentaje alcanzado para obtener el certificado en el nivel correspondiente. El dictamen por parte del organismo de certificación acreditado y aprobado, debe ser emitido dentro de los siguientes 60 días naturales a partir de la emisión del informe y enviado en los siguientes 3 días hábiles al interesado después de la fecha de dictaminación.|1
8.2.1.3 |4|La resolución del organismo de certificación acreditado y aprobado o la SEMARNAT debe ser fundada y en apego al mecanismo de evaluación establecido en el presente proyecto de norma.|1
8.2.1.4 |4|El certificado debe tener la siguiente información:|0
8.2.1.4.1 |5|Nombre del interesado que promueve la certificación.|1
8.2.1.4.2 |5|Nombre, ubicación y delimitación de la empresa certificada.|1
8.2.1.4.3 |5|Nivel obtenido y modalidad de acuerdo al numeral 8.1.4 y Apéndice A. Tabla 1.|1
8.2.1.4.4 |5|Vigencia del certificado.|1
8.2.1.4.5 |5|Logotipo y firma del organismo de certificación.|1
8.2.1.4.6 |5|Nomenclatura del presente proyecto de norma.|1
8.3 |2|VIGENCIA Y RATIFICACIÓN|0
8.3.1 |3|La vigencia del certificado es de cuatro años, y puede ratificarse por periodos iguales.|1
8.3.2 |3|El organismo de certificación acreditado y aprobado o la SEMARNAT realiza visitas de vigilancia para monitorear el cumplimiento de los requisitos que se cubrieron al momento de otorgar la certificación.|1
8.3.3 |3|Para obtener la ratificación es imprescindible alcanzar un porcentaje de cumplimiento igual o mayor al obtenido en el proceso de certificación inmediato anterior.|1
8.3.4 |3|En caso de que el interesado desee obtener un nivel superior en el certificado, debe realizar una evaluación completa de la conformidad del proyecto de norma.|1
8.3.5 |3|A solicitud del interesado, de la SEMARNAT o del organismo de certificación acreditado y aprobado, se puede realizar muestreos aleatorios, para verificar el cumplimiento de las especificaciones y requisitos bajo los cuales se otorgó el certificado.|1
8.3.6 |3|En caso de incumplimiento deberá iniciarse un procedimiento de cancelación del certificado.|1
8.3.7 |3|El organismo de certificación acreditado y aprobado o la SEMARNAT puede allegarse de la información necesaria para emitir su informe de cancelación y debe notificar por escrito al interesado su resolución.|1
8.3.8 |3|La SEMARNAT debe comunicar los listados de los organismos de certificación acreditados y aprobados, para lo cual los interesados pueden acudir a la misma, a sus delegaciones federales o consultar la página electrónica (www.semarnat.gob.mx).|1
8.3.9 |3|Aquellas empresas que a la entrada en vigor del presente proyecto de norma estén certificadas conforme a la NMX-AA-133-SCFI-2006, tienen un periodo de dos años de transición para cumplir con lo establecido en el presente proyecto de norma.|1
